id,Label,topic_name
superb,superb,Staff Service
noisy,noisy,Hostel
thoroughly,thoroughly,Hostel
happily,happily,Hostel
point,point,Hostel
heartbeat,heartbeat,Food
home,home,Staff Service
dated,dated,Hostel
double,double,Hostel
nearly,nearly,Hostel
95,95,Hostel
centrally,centrally,Hostel
11th,11th,Hostel
gbp,gbp,Hostel
bargain,bargain,Food
markets,markets,Hostel
july,july,Hostel
atmosphere,atmosphere,Hostel
accomodating,accomodating,Hostel
central,central,Food
continental,continental,Hostel
concierge,concierge,Hostel
travellers,travellers,Hostel
towels,towels,Hostel
great,great,Food
decent,decent,Hostel
big,big,Hostel
truly,truly,Hostel
50,50,Hostel
00,00,Hostel
march,march,Hostel
friendly,friendly,Staff Service
location,location,Hostel
attentive,attentive,Hostel
spent,spent,Staff Service
experience,experience,Hostel
elevators,elevators,Hostel
maid,maid,Hostel
evening,evening,Hostel
staying,staying,Hostel
non,non,Hostel
neighbourhood,neighbourhood,Food
okay,okay,Hostel
week,week,Staff Service
sightseeing,sightseeing,Hostel
nights,nights,Hostel
housekeeping,housekeeping,Hostel
roomy,roomy,Hostel
compared,compared,Hostel
food,food,Staff Service
executive,executive,Hostel
accomodations,accomodations,Hostel
courteous,courteous,Staff Service
dirty,dirty,Hostel
12,12,Hostel
sitting,sitting,Hostel
hilton,hilton,Food
four,four,Staff Service
facilities,facilities,Hostel
stays,stays,Hostel
included,included,Hostel
complementary,complementary,Hostel
modern,modern,Food
consider,consider,Hostel
year,year,Staff Service
fully,fully,Hostel
compact,compact,Food
slightly,slightly,Hostel
stay,stay,Staff Service
bathtub,bathtub,Food
3rd,3rd,Hostel
sheets,sheets,Hostel
flying,flying,Hostel
spacious,spacious,Food
buffet,buffet,Food
tiny,tiny,Hostel
cramped,cramped,Hostel
perfect,perfect,Staff Service
december,december,Hostel
lovely,lovely,Hostel
choice,choice,Hostel
comfy,comfy,Hostel
personnel,personnel,Food
definately,definately,Hostel
meal,meal,Staff Service
ones,ones,Hostel
neat,neat,Hostel
bed,bed,Hostel
bedsheets,bedsheets,Hostel
definitely,definitely,Hostel
position,position,Hostel
hostel,hostel,Hostel
grand,grand,Staff Service
stylish,stylish,Staff Service
visitors,visitors,Hostel
sized,sized,Hostel
nicely,nicely,Hostel
didnt,didnt,Hostel
spot,spot,Food
overnight,overnight,Hostel
nice,nice,Food
comfortable,comfortable,Hostel
shanti,shanti,Hostel
served,served,Hostel
third,third,Hostel
convenient,convenient,Hostel
start,start,Hostel
rude,rude,Hostel
fast,fast,Food
visited,visited,Hostel
hours,hours,Hostel
spotless,spotless,Staff Service
process,process,Hostel
works,works,Hostel
property,property,Hostel
basic,basic,Hostel
full,full,Hostel
impressions,impressions,Hostel
200,200,Hostel
tidy,tidy,Hostel
situated,situated,Hostel
hyatt,hyatt,Staff Service
customer,customer,Hostel
impeccable,impeccable,Hostel
park,park,Food
palace,palace,Hostel
hospitality,hospitality,Hostel
among,among,Hostel
helpful,helpful,Staff Service
14,14,Hostel
polite,polite,Hostel
room,room,Hostel
sight,sight,Food
funky,funky,Hostel
toilet,toilet,Hostel
decorated,decorated,Staff Service
5th,5th,Hostel
2004,2004,Hostel
breakfasts,breakfasts,Hostel
king,king,Food
hesitate,hesitate,Hostel
vegetarian,vegetarian,Staff Service
relatively,relatively,Hostel
plane,plane,Staff Service
furnished,furnished,Hostel
affordable,affordable,Hostel
wonderful,wonderful,Staff Service
generous,generous,Staff Service
slow,slow,Food
areas,areas,Hostel
place,place,Hostel
started,started,Hostel
excellent,excellent,Hostel
rooms,rooms,Hostel
500,500,Hostel
neighborhood,neighborhood,Food
exploring,exploring,Hostel
yet,yet,Hostel
fun,fun,Hostel
trips,trips,Hostel
luxurious,luxurious,Hostel
brilliant,brilliant,Staff Service
stayed,stayed,Hostel
incredible,incredible,Hostel
restaurant,restaurant,Food
prompt,prompt,Staff Service
beekman,beekman,Hostel
cheap,cheap,Hostel
route,route,Hostel
small,small,Food
fair,fair,Hostel
unhelpful,unhelpful,Hostel
fine,fine,Food
summer,summer,Staff Service
99,99,Hostel
reasonable,reasonable,Hostel
taxes,taxes,Hostel
pull,pull,Hostel
worn,worn,Hostel
mattress,mattress,Hostel
visit,visit,Staff Service
london,london,Food
cooked,cooked,Hostel
simple,simple,Hostel
amazing,amazing,Hostel
anyway,anyway,Hostel
proximity,proximity,Hostel
ourselves,ourselves,Hostel
staff,staff,Staff Service
spend,spend,Hostel
afternoon,afternoon,Staff Service
elegant,elegant,Hostel
mediocre,mediocre,Hostel
bathrooms,bathrooms,Hostel
august,august,Staff Service
upgraded,upgraded,Hostel
renovated,renovated,Hostel
limited,limited,Hostel
doormen,doormen,Staff Service
interiors,interiors,Hostel
suites,suites,Hostel
large,large,Hostel
night,night,Hostel
fantastic,fantastic,Hostel
least,least,Hostel
day,day,Hostel
400,400,Hostel
november,november,Hostel
incredibly,incredibly,Hostel
gorgeous,gorgeous,Staff Service
efficient,efficient,Hostel
long,long,Hostel
marriott,marriott,Food
extremely,extremely,Hostel
beautiful,beautiful,Staff Service
pillows,pillows,Hostel
free,free,Food
saturday,saturday,Staff Service
occasions,occasions,Hostel
functional,functional,Hostel
sleeping,sleeping,Hostel
rate,rate,Food
returning,returning,Hostel
staffs,staffs,Hostel
twice,twice,Staff Service
appointed,appointed,Hostel
chef,chef,Staff Service
poor,poor,Hostel
priceline,priceline,Hostel
lunch,lunch,Staff Service
suite,suite,Hostel
breakfast,breakfast,Food
spending,spending,Hostel
cozy,cozy,Hostel
its,its,Hostel
spotlessly,spotlessly,Hostel
classy,classy,Hostel
accommodation,accommodation,Hostel
clean,clean,Hostel
2007,2007,Hostel
amenities,amenities,Hostel
september,september,Hostel
time,time,Staff Service
250,250,Hostel
awesome,awesome,Hostel
destination,destination,Hostel
base,base,Food
welcome,welcome,Hostel
terrific,terrific,Hostel
english,english,Food
beds,beds,Hostel
showers,showers,Hostel
basement,basement,Hostel
gem,gem,Sight seeing
exception,exception,Hostel
imperial,imperial,Hostel
coffee,coffee,Food
comfort,comfort,Food
years,years,Hostel
common,common,Food
bedrooms,bedrooms,Hostel
intend,intend,Staff Service
sunday,sunday,Hostel
bedroom,bedroom,Food
travelodge,travelodge,Hostel
till,till,Hostel
during,during,Hostel
fab,fab,Hostel
maintained,maintained,Hostel
accommodating,accommodating,Hostel
2008,2008,Hostel
attending,attending,Hostel
petite,petite,Hostel
surely,surely,Hostel
tara,tara,Hostel
expectations,expectations,Hostel
morning,morning,Hostel
fairly,fairly,Hostel
beautifully,beautifully,Hostel
late,late,Hostel
junior,junior,Staff Service
western,western,Hostel
plan,plan,Staff Service
dark,dark,Hostel
menu,menu,Staff Service
horizon,horizon,Sight seeing
ideal,ideal,Staff Service
furnishings,furnishings,Hostel
cleanliness,cleanliness,Hostel
conveniently,conveniently,Hostel
services,services,Hostel
shabby,shabby,Hostel
fabulous,fabulous,Hostel
dinner,dinner,Staff Service
holiday,holiday,Staff Service
professional,professional,Hostel
60,60,Hostel
apartment,apartment,Hostel
future,future,Hostel
outstanding,outstanding,Hostel
super,super,Food
early,early,Hostel
hotel,hotel,Hostel
days,days,Hostel
following,following,Hostel
october,october,Hostel
size,size,Food
exceptional,exceptional,Hostel
june,june,Staff Service
flight,flight,Hostel
midtown,midtown,Food
charming,charming,Hostel
april,april,Hostel
return,return,Staff Service
carpet,carpet,Hostel
feb,feb,Hostel
times,times,Hostel
good,good,Food
drinks,drinks,Hostel
final,final,Hostel
service,service,Staff Service
